Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2026-02-02,Persona,1966,https://boxd.it/cWIqiV,4.5,,average experience of a girl oversharing to avoid awkward silence,,2026-02-01
2026-05-14,Annie Hall,1977,https://boxd.it/elHfdB,4.5,,"“And the guy says, I would, but I need the eggs.”

It seems Woody himself is trying to understand how relationships work, in his own witty way. Yet he’s fully aware that he could never truly explain them , and as much as that terrifies him, that’s precisely the magic.",,2026-05-13
2026-05-14,Cinema Paradiso,1988,https://boxd.it/elHpp3,5,,A film that makes you fall in love with cinema,,2026-05-13
2026-05-14,Chungking Express,1994,https://boxd.it/elHH0v,5,,"Everything feels so poetic.
He definitely has some unresolved loves, but that’s okay as long as it makes him create films like that",,2026-05-13
2026-05-14,Forrest Gump,1994,https://boxd.it/elHRuP,5,,If I had to pick one film that explain what life is about:,,2026-05-13
2026-05-14,Normal People,2020,https://boxd.it/elIda3,3.5,,okay girl just go to New York and shut the fuck up,,2026-05-13
2026-05-14,A Complete Unknown,2024,https://boxd.it/elIoi3,3.5,,"so annoying, yet he’s still attractive",,2026-05-13
